trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-75.90472392720275,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",20,0,-39.60489491339069,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",20,5,-29.89639075911852,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-45.99126268559539,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",25,0,-123.54380964489576,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,4,-32.39334410894242,"{0: 9, 1: 4, 2: 3, 3: 0, 4: 0}",1
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,16,6.162310206306328,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,0,-155.63847913877908,"{0: 20, 1: 1, 2: 4, 3: 3, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-43.39374987546672,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-97.12998378747379,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",25,12,-56.65939681846766,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",25,19,3.97129673701164,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-188.97146045485687,"{0: 10, 1: 0, 2: 4, 3: 4, 4: 2}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,0,-99.02514524874366,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,14,-31.723345312009656,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-220.91737793992002,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-68.8227157009421,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,15,-120.55107630480231,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 3}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-59.250705702321014,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",35,0,-214.62966100734909,"{0: 18, 1: 4, 2: 8, 3: 3, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",25,0,-77.17943494130209,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,0,-98.04369614256831,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-95.71035685466094,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
71,False,"{'a': 0.01, 'e': 0.7583618759905082}",25,0,-19.412479033540436,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
72,False,"{'a': 0.01, 'e': 0.751805729140895}",30,0,-130.2872212699631,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 2}",0
73,False,"{'a': 0.01, 'e': 0.7451744023448704}",20,0,-31.900072475236513,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,8,-86.94945220469354,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,0,-43.46664816034451,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-111.51395211685539,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",20,0,-165.3238929828868,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",30,0,-81.71934822038529,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",30,0,-171.83690981724197,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",25,0,-86.10098845372826,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",30,0,-107.06024408801485,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",20,0,-69.1836734887719,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",35,10,-40.19839428607673,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",20,0,-57.82675176531353,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,5,-40.50576414962307,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-55.27397572047774,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,0,0.9082893566436842,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,0,-56.12988127065627,"{0: 22, 1: 4, 2: 3, 3: 0, 4: 1}",0
89,False,"{'a': 0.01, 'e': 0.6294120265736969}",25,14,-40.78929160974441,"{0: 7, 1: 0, 2: 3, 3: 1, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6216099682706645}",20,0,-34.26849861528371,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6137457494888116}",25,14,-6.474632706873296,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-26.391911114789732,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-7.755688888232022,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,2,-37.743597184691076,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
95,False,"{'a': 0.01, 'e': 0.5816830894638835}",30,0,-127.53940377848716,"{0: 20, 1: 1, 2: 5, 3: 3, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,15,-88.90973456981429,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
97,False,"{'a': 0.01, 'e': 0.5652995311603544}",20,6,-14.977705252010317,"{0: 9, 1: 4, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5570225467662173}",25,0,-27.526828441957782,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,0,-56.436401200609446,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.5403023058681398}",25,0,-126.23687603510332,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
101,False,"{'a': 0.01, 'e': 0.5318607213743555}",30,9,-77.79693387695202,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 1}",1
102,False,"{'a': 0.01, 'e': 0.5233659512516496}",20,12,5.51381709107673,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
103,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-32.34860810106801,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
104,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,12,24.370797363531,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.01, 'e': 0.497571047891727}",20,0,-59.207167829731425,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
106,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,9,-7.526148105352098,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,0,-32.72457805738064,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
108,False,"{'a': 0.01, 'e': 0.47132836417373997}",30,9,-6.122933190527844,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.01, 'e': 0.4624853668753008}",25,0,-47.51062708629156,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,0,-71.45860287195568,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",1
111,False,"{'a': 0.01, 'e': 0.44466151674170673}",25,8,-13.110467418488746,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.43568244627671204}",30,15,-19.754484021990738,"{0: 12, 1: 1, 2: 0, 3: 2, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.42665980793015723}",25,0,15.337879941633098,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
114,False,"{'a': 0.01, 'e': 0.41759450395835795}",20,0,14.722196706059638,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,11,10.78261234938643,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.3993395294062732}",25,20,9.1681041464439,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.3901516843082303}",20,0,3.629431996243243,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
118,False,"{'a': 0.01, 'e': 0.3809248243668818}",25,16,6.219685209861137,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.01, 'e': 0.371659872260533}",20,3,4.542023606952551,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,0,-73.47300314771854,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
121,False,"{'a': 0.01, 'e': 0.35301940121933034}",25,0,-2.059395848746969,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
